,Date,Symbols,High,Low,Open,Close,Volume,Adj Close,Company_name
387,2016-01-26,brk-a,190500,187510,187510,189640,400,189640,Berkshire Hathaway Inc.
388,2016-01-27,brk-a,191580,187996,189395,189091,200,189091,Berkshire Hathaway Inc.
389,2016-01-28,brk-a,190900,187500,189840,188300,200,188300,Berkshire Hathaway Inc.
390,2016-01-29,brk-a,194650,190020,190020,194360,500,194360,Berkshire Hathaway Inc.
391,2016-02-01,brk-a,195190,191900,194000,194759,500,194759,Berkshire Hathaway Inc.
392,2016-02-02,brk-a,194000,189800,193100,189902,400,189902,Berkshire Hathaway Inc.
393,2016-02-03,brk-a,190620,186921,190501,189861,400,189861,Berkshire Hathaway Inc.
394,2016-02-04,brk-a,192200,189502,189502,192200,200,192200,Berkshire Hathaway Inc.
395,2016-02-05,brk-a,191880,189520,191385,190820,300,190820,Berkshire Hathaway Inc.
396,2016-02-08,brk-a,192440,188500,189120,191255,400,191255,Berkshire Hathaway Inc.
397,2016-02-09,brk-a,193000,189365,189725,192635,600,192635,Berkshire Hathaway Inc.
398,2016-02-10,brk-a,194700,190471,192861,190520,300,190520,Berkshire Hathaway Inc.
399,2016-02-11,brk-a,190200,187405,187865,190000,600,190000,Berkshire Hathaway Inc.
400,2016-02-12,brk-a,193999,190300,190300,193999,600,193999,Berkshire Hathaway Inc.
401,2016-02-16,brk-a,195540,193106,195540,193465,300,193465,Berkshire Hathaway Inc.
402,2016-02-17,brk-a,196070,194063,194741,195903,400,195903,Berkshire Hathaway Inc.
403,2016-02-18,brk-a,199001,196025,196450,196025,400,196025,Berkshire Hathaway Inc.
404,2016-02-19,brk-a,197660,195726,196075,197310,100,197310,Berkshire Hathaway Inc.
405,2016-02-22,brk-a,199800,197631,199000,198650,200,198650,Berkshire Hathaway Inc.
406,2016-02-23,brk-a,198300,196502,197880,196502,100,196502,Berkshire Hathaway Inc.
407,2016-02-24,brk-a,197400,194201,195755,196511,300,196511,Berkshire Hathaway Inc.
408,2016-02-25,brk-a,198899,196100,197690,198899,400,198899,Berkshire Hathaway Inc.
409,2016-02-26,brk-a,200000,198000,199000,198191,400,198191,Berkshire Hathaway Inc.
410,2016-02-29,brk-a,203192,200000,200100,202555,900,202555,Berkshire Hathaway Inc.
411,2016-03-01,brk-a,205606,202600,203899,205500,700,205500,Berkshire Hathaway Inc.
